"RelativePath"                                                                , "Width", "Height", "Format"
"environment\SkyCube_RedRocks05a.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks06.dds"                                          , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks08a.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks09a.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_RedRocks10.dds"                                          , "512"  , "512"   , "dds"
"environment\SkyCube_Scx1Proto01.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_Scx1Proto02.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_Tropical01.DDS"                                          , "512"  , "512"   , "dds"
"environment\SkyCube_Tropical01a.dds"                                         , "512"  , "512"   , "dds"
"environment\SkyCube_Tropical04.DDS"                                          , "512"  , "512"   , "dds"
"environment\SkyCube_TropicalOp06.DDS"                                        , "512"  , "512"   , "dds"
"environment\SkyCube_TropicalOp06a.dds"                                       , "512"  , "512"   , "dds"
"environment\SkyCube_Tundra01.dds"                                            , "512"  , "512"   , "dds"
"environment\SkyCube_Tundra02.dds"                                            , "512"  , "512"   , "dds"
"environment\SkyCube_Tundra02a.dds"                                           , "512"  , "512"   , "dds"
"environment\SkyCube_Tundra03.dds"                                            , "512"  , "512"   , "dds"
"environment\SkyCube_Tundra03a.dds"                                           , "512"  , "512"   , "dds"
"environment\SkyCube_Tundra04a.dds"                                           , "512"  , "512"   , "dds"
"environment\Thiban_bmp.dds"                                                  , "1024" , "1024"  , "dds"
"environment\Zeta Canis_bmp.dds"                                              , "1024" , "1024"  , "dds"
"highlight_bracket_enemy_sm.dds"                                              , "64"   , "64"    , "dds"
"highlight_bracket_neutral_sm.dds"                                            , "64"   , "64"    , "dds"
"highlight_bracket_player_sm.dds"                                             , "64"   , "64"    , "dds"
"particles\_ramp_firetest_02.dds"                                             , "256"  , "16"    , "dds"
"particles\_ramp_firetest.dds"                                                , "256"  , "16"    , "dds"
"particles\_ramp_gatesparks.dds"                                              , "256"  , "16"    , "dds"
"particles\_ramp_gatesparks2.dds"                                             , "256"  , "16"    , "dds"
"particles\_swirl01.dds"                                                      , "128"  , "128"   , "dds"
"particles\_swirl02.dds"                                                      , "128"  , "128"   , "dds"
"particles\_swirl03.dds"                                                      , "128"  , "128"   , "dds"
"particles\_swirl04.dds"                                                      , "128"  , "128"   , "dds"
"particles\_swirl05.dds"                                                      , "128"  , "128"   , "dds"
"particles\_test_cloud_nuke03.dds"                                            , "128"  , "512"   , "dds"
"particles\_test_cloud_smoke_alpha_02.dds"                                    , "256"  , "256"   , "dds"
"particles\_test_cloud_smoke_alpha_03.dds"                                    , "256"  , "256"   , "dds"
"particles\a_ramp_gas_test_01.dds"                                            , "256"  , "4"     , "dds"
"particles\adjacency_aeon_beam_01.dds"                                        , "32"   , "32"    , "dds"
"particles\adjacency_aeon_beam_02.dds"                                        , "32"   , "32"    , "dds"
"particles\adjacency_aeon_beam_03.dds"                                        , "32"   , "32"    , "dds"
"particles\aeon_gunship_chassis_01.dds"                                       , "128"  , "128"   , "dds"
"particles\aeon_plasma01.dds"                                                 , "256"  , "256"   , "dds"
"particles\aeon_plasma02.dds"                                                 , "512"  , "512"   , "dds"
"particles\aeon_plasma03.dds"                                                 , "256"  , "256"   , "dds"
"particles\aeon_ring_distort_01.dds"                                          , "256"  , "256"   , "dds"
"particles\air_contrail_01.dds"                                               , "32"   , "32"    , "dds"
"particles\air_contrail_02.dds"                                               , "32"   , "32"    , "dds"
"particles\antimatter_01.dds"                                                 , "128"  , "128"   , "dds"
"particles\arc_mirror_01.dds"                                                 , "128"  , "128"   , "dds"
"particles\arc_streak_01.dds"                                                 , "256"  , "256"   , "dds"
"particles\arc_streak_02.dds"                                                 , "256"  , "256"   , "dds"
"particles\ash_alpha_01.dds"                                                  , "32"   , "128"   , "dds"
"particles\backwards_muzzle_flash_add_01.dds"                                 , "128"  , "128"   , "dds"
"particles\beam_blue_01.dds"                                                  , "32"   , "128"   , "dds"
"particles\beam_blue_02.dds"                                                  , "64"   , "128"   , "dds"
"particles\beam_blue_03.dds"                                                  , "128"  , "128"   , "dds"
